Cable One Arm Seated High Row, 2220000
Cable One Arm Straight Back Seated High Row, 2520000
Cable Twisting Seated High Row, 2230000
Cable Seated High Row, 4460000
Cable Alternating Seated High Row, 900000
Cable Seated Row, 20600000
Cable Straight Back Seated Row, 2340000
Cable Wide Grip Seated Row, 1970000
Cable Wide Grip Straight Back Seated Row, 2450000
Lever Seated Low Row (plate loaded), 1140000
Lever Seated High Row (plate loaded), 1200000
Lever Underhand Seated Row (plate loaded), 631000
Lever Alternating Underhand Seated Row (plate loaded), 626000
Lever Seated High Row, 1300000
Lever Alternating Seated High Row, 2040000
Lever Seated High Row, 1300000
Lever Seated Row, 1710000
Lever Wide Grip Seated Row, 1520000
Lever Seated Row (no chest pad), 2000000
Lever Straight Back Seated Row (no chest pad), 2120000
Lever Underhand Seated Row, 609000
Lever Underhand Seated Row, 609000
Lever Alternating Underhand Seated Row, 1130000
Smith Bent-over Row, 10900000
Weighted Inverted Row, 1720000
Inverted Row, 36000000
Inverted Row (feet elevated), 705000
Inverted Row (high bar), 10600000
Inverted Row (on hips), 27500000
Suspended Inverted Row, 3290000
Suspended Bent-knee Inverted Row, 1490000
Suspended One Arm Inverted Row, 3500000
Suspended Power Pull, 60400000
Suspended Row, 48900000
Suspended One Arm Row, 22100000
Fixed Bar Back Stretch, 19700000
Lever Back Stretch, 13200000
Inverted Row, 36000000
Inverted Row (feet elevated), 705000
Inverted Row (high bar), 9220000
Inverted Row (on hips), 27500000
Machine-assisted Chin-up, 6380000
Machine-assisted Parallel Close Grip Pull-up, 4850000
Machine-assisted Parallel Close Grip Pull-up (standing), 4890000
Machine-assisted Pull-up, 16200000
Machine-assisted Pull-up (open-centered bar), 7750000
Machine-assisted Pull-up (open-centered bar, standing), 24000000
Barbell Pullover, 2230000
Barbell Bent Arm Pullover, 280000
Cable Close Grip Pulldown, 1790000
Cable Alternating Close Grip Pulldown, 600000
Cable One Arm Pulldown, 1540000
Cable One Arm Kneeling Pulldown, 580000
Cable Close Grip Pulldown (stirrups), 635000
Cable Kneeling Bent-over Pulldown, 651000
Cable Pulldown, 10700000
Cable Alternating Pulldown, 593000
